q1,q2,q3,q6,q7,q66,q80,q84
5,1,3,1.75,79.38,3,8,3
3,2,1,1.68,58.06,3,6,2
4,1,2,1.63,50.35,4,8,5
6,1,3,1.75,72.58,3,8,3
6,2,3,1.75,68.04,2,6,3
6,1,3,,,3,6,3
4,1,1,1.63,52.16,3,8,1
5,1,3,1.63,49.9,2,6,2
6,1,3,1.52,53.07,4,8,3
4,1,2,1.5,47.17,4,7,4
5,1,3,1.5,55.79,4,8,4
3,2,1,1.9,97.52,4,8,4
5,1,2,1.5,48.54,2,8,2
5,1,3,1.6,90.72,5,8,5
5,1,2,1.57,55.79,3,8,3
6,2,3,1.85,58.97,3,3,1
5,2,3,1.88,66.23,3,8,1
5,1,3,1.7,81.65,3,7,4
5,1,3,1.7,51.71,3,6,3
4,2,2,1.8,80.74,4,8,2
6,2,3,1.75,71.67,2,6,3
6,2,3,1.75,83.46,3,8,2
3,2,1,1.83,54.43,1,6,3
5,2,2,1.75,65.77,2,1,1
5,1,3,1.7,63.5,3,8,4
5,1,3,1.65,74.84,3,6,2
3,2,1,1.73,54.43,3,8,1
4,1,2,1.65,81.65,4,6,4
6,,3,,,2,,
5,2,3,1.68,66.68,3,8,4
3,2,1,1.68,52.16,3,8,2
